gene	pearson_corr	pearson_pvalue	pearson_FDR	spearman_corr	spearman_pvalue	spearman_FDR	mean_RNA	mean_protein	sd_RNA	sd_protein	number_of_samples
FADS1	0.8096	5.607e-16	5.36e-15	0.8442	1.914e-18	2.09e-17	98.21	0.08	65.48	0.53	64
FADS2	0.8286	2.922e-17	3.77e-16	0.8376	6.291e-18	6.3e-17	126.41	-0.04	95.71	0.55	64
FADS3	0.8141	2.862e-16	2.91e-15	0.8375	6.392e-18	6.39e-17	28.41	-0.05	22.61	0.51	64
FAF1	0.7793	3.32e-14	2.26e-13	0.7523	7.664e-13	3.86e-12	56.5	0.03	18.06	0.24	64
FAF2	0.5847	3.911e-07	8.38e-07	0.5413	3.875e-06	7.89e-06	54.32	0.03	15.25	0.19	64
FAH	0.8354	9.153e-18	1.36e-16	0.8624	5.48e-20	7.94e-19	11.21	-0.08	9.04	0.54	64
FAHD1	0.5129	1.471e-05	2.57e-05	0.4783	6.417e-05	0.000111	13.77	0.26	4.31	0.39	64
FAHD2A	0.6473	7.484e-09	2.06e-08	0.6707	1.333e-09	4.36e-09	19.23	0.15	5.39	0.39	64
FAHD2B	0.6831	0.0001203	0.000189	0.6137	0.0008554	0.00128	14.58	0.37	8.26	0.7	26
FAIM	0.874	4.203e-21	1.72e-19	0.9383	2.781e-30	5.24e-28	26.62	-0.18	27.92	0.64	64
FAM102A	0.8252	5.078e-17	6.26e-16	0.7796	3.231e-14	1.95e-13	10.14	-0.66	11.55	0.9	64
FAM102B	0.7304	7.396e-12	3.27e-11	0.7781	3.867e-14	2.31e-13	31.99	0.13	12.93	0.45	64
FAM104A	0.5338	5.553e-06	1.02e-05	0.3905	0.001423	0.00207	50.56	-0.02	12.18	0.29	64
FAM107B	0.9107	1.716e-25	4.5e-23	0.9598	6.704e-36	1.8e-32	118.1	-0.15	86.21	0.94	64
FAM110A	0.5747	6.818e-07	1.41e-06	0.6316	2.193e-08	6.05e-08	8.18	-0.11	4.29	0.35	64
FAM111A	0.5318	6.137e-06	1.13e-05	0.5178	1.178e-05	2.25e-05	131.74	-0.03	47.8	0.19	64
FAM111B	0.8842	3.638e-22	2.25e-20	0.9222	2.851e-27	2.1e-25	105.88	-0.08	78.53	0.63	64
FAM114A1	0.6907	3.839e-09	1.1e-08	0.6352	1.454e-07	3.61e-07	0.45	0.21	0.61	0.69	56
FAM114A2	0.7173	2.583e-11	1.04e-10	0.7491	1.088e-12	5.39e-12	18.24	0.02	5.02	0.28	64
FAM117A	0.7975	3.118e-15	2.57e-14	0.7642	2.023e-13	1.1e-12	30.5	0.07	14.04	0.45	64
FAM117B	0.5884	3.176e-07	6.91e-07	0.6795	6.697e-10	2.28e-09	28.71	0.03	17.04	0.38	64
FAM118A	0.3185	0.01031	0.013	0.3604	0.003441	0.00476	24.53	0.27	19.14	0.46	64
FAM118B	0.5721	7.886e-07	1.62e-06	0.5519	2.273e-06	4.78e-06	21.1	0.09	6	0.28	64
FAM120A	0.7717	8.38e-14	5.25e-13	0.7575	4.358e-13	2.27e-12	103.04	-0.02	21.49	0.22	64
FAM120B	0.4016	0.001006	0.00141	0.4095	0.0007798	0.00117	24.15	0.05	10.62	0.22	64
FAM120C	0.8338	1.205e-17	1.74e-16	0.8876	1.52e-22	3.6e-21	11.56	0.16	7.41	0.41	64
FAM122B	0.4896	4.023e-05	6.66e-05	0.5299	6.718e-06	1.33e-05	33.83	0.07	19.84	0.25	64
FAM124A	0.8522	4.801e-07	1.02e-06	0.6832	0.0004569	0.000707	1.06	0.21	1.44	0.63	22
FAM126A	0.6115	7.961e-08	1.89e-07	0.559	1.578e-06	3.4e-06	17.47	0.04	6.81	0.47	64
FAM126B	0.4828	5.34e-05	8.73e-05	0.3854	0.00166	0.00239	16.93	0	6.66	0.25	64
FAM133B	0.6115	7.966e-08	1.89e-07	0.4826	5.389e-05	9.41e-05	37.72	0.19	24.96	0.46	64
FAM135A	0.6776	7.776e-10	2.43e-09	0.6784	7.282e-10	2.47e-09	16.13	-0.03	9.65	0.45	64
FAM136A	0.7033	9.13e-11	3.34e-10	0.629	2.599e-08	7.09e-08	67.35	0.05	23.12	0.26	64
FAM13A	0.373	0.009814	0.0124	0.3178	0.02951	0.0365	2.36	-0.24	3.94	0.39	47
FAM13B	0.3331	0.007163	0.00916	0.4569	0.0001475	0.000244	42.4	0.01	21.39	0.45	64
FAM151B	0.7804	1.121e-05	1.99e-05	0.6522	0.0007455	0.00112	1.07	-0.27	0.98	1.09	23
FAM160A2	0.3928	0.001327	0.00183	0.4312	0.0003751	0.000588	18.49	-0.04	9.02	0.27	64
FAM160B1	0.7886	1.015e-14	7.6e-14	0.8526	3.931e-19	4.85e-18	40.04	0.03	16.56	0.31	64
FAM160B2	0.5512	2.355e-06	4.55e-06	0.5142	1.383e-05	2.62e-05	11.36	-0.04	4.51	0.37	64
FAM161A	0.6838	4.724e-10	1.53e-09	0.686	3.949e-10	1.39e-09	7.86	-0.01	4.92	0.36	64
FAM162A	0.733	5.701e-12	2.56e-11	0.7211	1.813e-11	7.58e-11	41.6	0.14	22.17	0.35	64
FAM168A	0.4619	0.000122	0.000191	0.494	3.354e-05	6.02e-05	44.21	0.2	14.51	0.26	64
FAM169A	0.7774	4.228e-14	2.79e-13	0.8799	1.063e-21	2.08e-20	16.69	-0.25	17.89	0.81	64
FAM171A1	0.7942	4.874e-15	3.88e-14	0.8475	1.05e-18	1.2e-17	15.88	-0.16	22.11	0.61	64
FAM171A2	0.6971	1.56e-10	5.48e-10	0.735	4.693e-12	2.12e-11	3.39	0.08	2.32	0.56	64
FAM172A	0.6344	1.816e-08	4.71e-08	0.6163	5.894e-08	1.53e-07	19.96	0.1	5.75	0.28	64
FAM174B	0.3121	0.04697	0.0555	0.3105	0.04821	0.058	2.09	-1.52	2.14	1.01	41
FAM177A1	0.7702	1.007e-13	6.2e-13	0.7892	9.452e-15	6.09e-14	5.64	-0.09	2.83	0.33	64
FAM185A	0.638	1.421e-08	3.75e-08	0.6448	8.889e-09	2.6e-08	8.3	-0.09	3.37	0.48	64
FAM186A	0.3378	0.1342	0.151	0.3036	0.1809	0.202	0.08	0.03	0.09	0.22	21
FAM189B	0.354	0.01988	0.0244	0.3099	0.04316	0.0523	5.92	0.09	2.15	0.55	43
FAM193A	0.5043	2.153e-05	3.67e-05	0.5371	4.75e-06	9.57e-06	28.77	0.02	14.14	0.2	64
FAM193B	-0.1346	0.2888	0.312	-0.2308	0.06656	0.0785	39.59	0.12	15.81	0.36	64
FAM199X	0.3556	0.00393	0.00517	0.298	0.01676	0.0213	32.51	-0.13	8.24	0.33	64
FAM200A	0.6243	2.115e-07	4.72e-07	0.5395	1.49e-05	2.81e-05	14.11	-0.01	4.37	0.42	57
FAM204A	0.4907	3.853e-05	6.39e-05	0.5342	5.459e-06	1.09e-05	16.42	-0.03	4.69	0.23	64
FAM207A	0.4133	0.000687	0.000981	0.2893	0.0204	0.0257	22.65	-0.13	10.03	0.33	64
FAM20B	0.6833	4.928e-10	1.59e-09	0.6159	6.066e-08	1.58e-07	58.93	-0.03	20.87	0.2	64
FAM210A	0.4466	0.0002163	0.000328	0.3632	0.003177	0.00441	23.76	0.07	7.11	0.23	64
FAM210B	0.683	4.816e-09	1.36e-08	0.7606	6.704e-12	2.97e-11	10.48	0.63	8.88	0.95	57
FAM216A	0.1862	0.2631	0.286	0.2148	0.1953	0.217	55.87	-0.06	27.79	0.45	38
FAM219A	0.7649	1.87e-13	1.09e-12	0.713	3.848e-11	1.53e-10	13.75	0.21	8.84	0.48	64
FAM219B	0.6138	3.826e-07	8.21e-07	0.4157	0.001302	0.0019	38.17	-0.05	14.7	0.81	57
FAM221A	0.7943	4.795e-15	3.82e-14	0.8913	5.758e-23	1.47e-21	4.25	0.04	4.29	0.72	64
FAM222B	0.2237	0.1351	0.152	0.3773	0.009751	0.0128	6.94	-0.05	3.85	0.36	46
FAM234A	0.2243	0.07474	0.0865	0.2517	0.04478	0.0541	13.58	0.03	4.87	0.27	64
FAM234B	0.5168	1.231e-05	2.17e-05	0.5329	5.805e-06	1.16e-05	13.56	-0.02	6.08	0.36	64
FAM241A	0.8442	1.916e-18	3.4e-17	0.9135	6.794e-26	3.3e-24	9.76	-0.24	13.23	1.14	64
FAM241B	0.8602	8.899e-12	3.88e-11	0.6869	2.662e-06	5.56e-06	2.31	0.21	5.36	0.93	37
FAM32A	0.3125	0.01195	0.0149	0.3383	0.006257	0.00839	128.62	0.02	26.19	0.17	64
FAM3A	0.4525	0.0001742	0.000268	0.4571	0.0001467	0.000242	8.34	-0.02	3.08	0.3	64
FAM3C	0.5742	7.036e-07	1.46e-06	0.7733	6.952e-14	4.02e-13	74.78	-0.07	73.84	0.46	64
FAM43A	0.842	3.683e-08	9.18e-08	0.5687	0.001965	0.0028	12.97	0.03	18.68	0.89	27
FAM49A	0.8091	6.02e-16	5.7e-15	0.7588	3.753e-13	1.98e-12	9.65	0.04	14	0.7	64
FAM49B	0.5869	3.456e-07	7.47e-07	0.4961	3.067e-05	5.53e-05	54.19	0.02	18.67	0.28	64
FAM50A	0.828	3.22e-17	4.13e-16	0.8728	5.586e-21	9.78e-20	33.91	0.17	19.28	0.34	64
FAM50B	0.7924	8.881e-11	3.25e-10	0.518	0.000268	0.000429	0.62	-0.56	1.58	1.1	45
FAM53A	0.6462	0.001157	0.00161	0.651	0.001032	0.00153	0.89	-0.26	0.65	0.63	22
FAM53B	0.845	1.667e-18	3.01e-17	0.8447	1.76e-18	1.94e-17	26.92	-0.03	16.01	0.51	64
FAM53C	0.5487	2.68e-06	5.14e-06	0.4589	0.0001369	0.000227	35.14	0.04	8	0.22	64
FAM76A	0.6916	2.5e-10	8.48e-10	0.7386	3.254e-12	1.51e-11	16.82	0.06	4.51	0.23	64
FAM76B	0.6716	1.24e-09	3.76e-09	0.7069	6.66e-11	2.57e-10	39.08	0.17	14.11	0.31	64
FAM78A	0.7705	9.748e-14	6.03e-13	0.7869	1.273e-14	8.02e-14	17.18	-0.47	20.97	0.79	64
FAM83D	0.6798	6.512e-10	2.06e-09	0.5643	1.194e-06	2.61e-06	46.37	-0.2	25.52	0.32	64
FAM83F	0.8249	7.643e-06	1.39e-05	0.1766	0.4564	0.484	0.63	0.07	2.21	0.81	20
FAM83G	0.1918	0.2179	0.239	0.1847	0.2357	0.26	1.72	-0.05	3.03	0.37	43
FAM8A1	0.61	8.785e-08	2.07e-07	0.6375	1.469e-08	4.15e-08	28.37	0.08	10.4	0.4	64
FAM91A1	0.6638	2.248e-09	6.6e-09	0.6669	1.776e-09	5.71e-09	55.84	0.08	18.29	0.23	64
FAM92A	0.9211	1.54e-22	1.07e-20	0.8673	4.537e-17	3.98e-16	4.18	-0.16	4.62	0.75	53
FAM98A	0.6731	1.107e-09	3.38e-09	0.6802	6.317e-10	2.16e-09	22.74	-0.15	7.54	0.3	64
FAM98B	0.3487	0.004742	0.00618	0.2834	0.02324	0.0291	15.2	0.06	8.12	0.25	64
FAM98C	0.1524	0.2294	0.251	-0.0102	0.9363	0.943	5.99	0.11	2.03	0.44	64
FAN1	0.3562	0.003867	0.00509	0.4423	0.0002528	0.000405	18.53	-0.11	8.4	0.51	64
FANCA	0.2948	0.01804	0.0222	0.3281	0.008133	0.0107	40.94	-0.02	26.24	0.23	64
FANCB	0.3936	0.001292	0.00178	0.4756	7.139e-05	0.000122	32.55	-0.04	19.83	0.27	64
FANCC	0.2731	0.02899	0.035	0.1307	0.3034	0.33	6.38	-0.06	5.27	0.26	64
FANCD2	0.7545	6.016e-13	3.17e-12	0.7472	1.336e-12	6.52e-12	72.64	-0.18	31.81	0.41	64
FANCE	0.7225	1.584e-11	6.61e-11	0.7409	2.563e-12	1.21e-11	33.26	-0.08	15.94	0.32	64
FANCF	0.3093	0.0129	0.0161	0.2662	0.03348	0.0411	40.49	-0.05	16.87	0.22	64
FANCG	0.3853	0.001667	0.00228	0.3137	0.0116	0.0151	69.73	-0.08	25.85	0.3	64
FANCI	0.5859	3.658e-07	7.88e-07	0.6477	7.282e-09	2.15e-08	143.32	-0.04	83.61	0.3	64
FANCL	0.2133	0.09051	0.104	0.1349	0.2879	0.314	58.26	-0.07	26.74	0.24	64
FANCM	0.3564	0.003841	0.00505	0.2854	0.02224	0.0279	22.77	-0.15	8.75	0.25	64
FAR1	0.5005	2.53e-05	4.28e-05	0.3861	0.001625	0.00234	58.86	-0.25	20.92	0.52	64
FAR2	0.7551	5.641e-13	3e-12	0.6753	9.342e-10	3.12e-09	19.71	-0.51	18.73	0.6	64
FARP1	0.8649	3.217e-20	9.91e-19	0.8001	2.177e-15	1.52e-14	3.22	-0.29	4.81	0.95	64
FARP2	0.6401	1.229e-08	3.26e-08	0.7099	5.103e-11	1.99e-10	13.6	-0.15	3.94	0.36	64
FARS2	0.243	0.05305	0.0623	0.2893	0.02042	0.0257	15.26	0.05	3.22	0.22	64
FARSA	0.3568	0.003802	0.00501	0.3571	0.003772	0.00519	116.31	-0.01	41.01	0.15	64
FARSB	0.6288	2.631e-08	6.68e-08	0.6315	2.213e-08	6.1e-08	43.73	0	18.98	0.18	64
FAS	0.8052	1.049e-15	9.44e-15	0.8389	4.98e-18	5.07e-17	8.56	-0.74	12.02	0.83	64
FASN	0.5256	8.221e-06	1.48e-05	0.4868	4.523e-05	7.98e-05	63.77	-0.13	34.83	0.41	64
FASTK	0.1736	0.17	0.189	0.1674	0.186	0.208	34.34	0.07	8.69	0.3	64
FASTKD1	0.4064	0.0008613	0.00122	0.3232	0.009185	0.0121	36.22	-0.04	10.57	0.25	64
FASTKD2	0.4154	0.000642	0.00092	0.3288	0.007993	0.0106	25.92	-0.19	9.04	0.29	64
FASTKD3	0.4736	7.722e-05	0.000124	0.4479	0.0002063	0.000334	31.64	-0.07	10.57	0.26	64
FASTKD5	0.1983	0.1162	0.131	0.079	0.535	0.562	45.03	-0.11	10.33	0.22	64
FAT1	0.8607	7.796e-20	2.12e-18	0.8954	1.851e-23	5.25e-22	107.69	-0.05	141.87	1.04	64
FAU	0.2072	0.1004	0.114	0.163	0.1981	0.22	375.21	-0.02	110.89	0.26	64
FBF1	0.582	4.553e-07	9.66e-07	0.6615	2.665e-09	8.36e-09	5.98	0.1	2.84	0.39	64
FBH1	0.4722	8.172e-05	0.000131	0.356	0.003893	0.00535	47.07	-0.07	17.28	0.2	64
FBL	0.612	7.729e-08	1.84e-07	0.6103	8.597e-08	2.19e-07	142.81	0.06	52.26	0.17	64
FBLIM1	0.655	3.533e-05	5.89e-05	0.7145	3.011e-06	6.22e-06	1.28	0.04	3.38	0.94	33
FBLL1	0.2585	0.03915	0.0466	0.1402	0.2693	0.295	0.14	-0.03	0.2	0.23	64
FBLN1	0.3241	0.008981	0.0114	0.3125	0.01194	0.0155	1.35	0.38	3.6	0.76	64
FBLN2	0.8594	1.02e-19	2.67e-18	0.5021	2.371e-05	4.34e-05	4.38	-0.11	8.17	0.73	64
FBN1	0.3697	0.005043	0.00656	0.2995	0.02492	0.0311	4.31	0.32	3.93	0.75	56
FBN2	0.5382	4.499e-06	8.39e-06	0.1671	0.187	0.209	3.49	0.08	7.52	0.7	64
FBP1	0.2777	0.02629	0.0319	0.73	7.665e-12	3.37e-11	2.31	-0.44	7.14	1.22	64
FBP2	-0.3141	0.1774	0.197	-0.378	0.1004	0.116	0	0.12	0.01	1.04	20
FBRS	0.3907	0.001414	0.00194	0.2708	0.03045	0.0376	19.44	0.03	8.76	0.26	64
FBRSL1	0.3968	0.00117	0.00162	0.5872	3.389e-07	8e-07	15.02	0.03	8.14	0.27	64
FBXL12	0.6012	1.496e-07	3.4e-07	0.5473	2.871e-06	5.96e-06	21.93	0	5.82	0.3	64
FBXL14	0.2993	0.01629	0.0201	0.3196	0.01003	0.0131	13.69	-0.13	5.06	0.25	64
FBXL15	0.1431	0.2593	0.282	0.0909	0.4752	0.503	4.46	-0.06	1.87	0.27	64
FBXL17	0.6627	2.446e-09	7.14e-09	0.7488	1.123e-12	5.55e-12	10.4	0.11	4.54	0.3	64
FBXL18	0.5532	2.129e-06	4.14e-06	0.6089	9.357e-08	2.38e-07	4.86	-0.01	1.56	0.32	64
FBXL19	0.4764	6.9e-05	0.000111	0.4251	0.0004622	0.000715	27.35	0.12	10.08	0.2	64
FBXL20	0.6847	4.402e-10	1.43e-09	0.7347	4.828e-12	2.17e-11	16.99	0.14	8.78	0.31	64
FBXL3	0.4676	9.8e-05	0.000155	0.5049	2.09e-05	3.85e-05	37.4	-0.01	10.77	0.2	64
FBXL4	0.618	5.305e-08	1.3e-07	0.7094	5.317e-11	2.07e-10	30.46	0.13	16.36	0.34	64
FBXL5	-0.25	0.2877	0.311	-0.1143	0.6314	0.656	74.11	-0.03	38.85	0.35	20
FBXL6	0.2942	0.01829	0.0225	0.3523	0.0043	0.00587	16.46	-0.22	5.37	0.29	64
FBXL8	0.2378	0.05852	0.0684	0.2728	0.02916	0.0361	3.38	0.09	1.48	0.5	64
FBXO10	0.6279	0.0005942	0.000854	0.455	0.0195	0.0246	2.37	-0.01	0.85	0.32	26
FBXO11	0.4363	0.0003135	0.000466	0.4293	0.000401	0.000625	41.24	0	20.55	0.34	64
FBXO2	0.837	6.891e-10	2.17e-09	0.5325	0.001187	0.00174	0.31	-0.19	0.68	0.8	34
FBXO21	0.5667	1.054e-06	2.13e-06	0.5523	2.226e-06	4.69e-06	35.45	-0.08	9.7	0.23	64
FBXO22	0.4038	0.0009365	0.00132	0.3407	0.005872	0.00789	18.67	-0.07	6.04	0.25	64
FBXO25	0.4809	5.753e-05	9.36e-05	0.5208	1.026e-05	1.98e-05	17.69	-0.25	10.16	0.77	64
FBXO28	0.4542	0.0001631	0.000251	0.3829	0.001793	0.00257	37.91	-0.03	10.19	0.2	64
FBXO3	0.3585	0.003628	0.00479	0.4378	0.0002974	0.000472	12.98	0.1	3.86	0.26	64
FBXO30	0.2829	0.02348	0.0286	0.2804	0.02479	0.0309	16.14	-0.11	4.62	0.22	64
FBXO31	-0.0285	0.8336	0.847	0.0062	0.9634	0.968	17.18	-0.1	5.35	0.21	57
FBXO33	0.5588	1.593e-06	3.14e-06	0.5502	2.483e-06	5.2e-06	34.74	-0.32	8.63	0.42	64
FBXO34	0.3879	0.01016	0.0128	0.3052	0.04658	0.0561	53.46	0.03	14.95	0.44	43
FBXO38	0.421	0.0005326	0.00077	0.4386	0.0002883	0.000458	36.99	-0.01	12	0.25	64
FBXO4	0.8164	2.01e-16	2.12e-15	0.7854	1.538e-14	9.59e-14	16.81	0.02	8.51	0.45	64
FBXO41	0.4036	0.0009442	0.00133	0.4386	0.0002888	0.000459	19.65	0.03	8.35	0.28	64
FBXO42	0.3265	0.008467	0.0108	0.3087	0.01306	0.0169	22.03	0.09	6.57	0.19	64
FBXO43	0.7624	4.179e-08	1.03e-07	0.812	1.064e-09	3.53e-09	9.73	0.16	8.58	1.13	37
FBXO44	0.7256	1.182e-11	5.05e-11	0.8232	7.003e-17	5.98e-16	11.27	-0.1	10.15	0.78	64
FBXO45	0.1527	0.2282	0.25	0.1031	0.4177	0.446	35.75	0.08	15.77	0.15	64
FBXO46	0.5129	1.467e-05	2.56e-05	0.5684	9.608e-07	2.13e-06	16.32	0.03	5.99	0.18	64
FBXO48	0.3882	0.008411	0.0107	0.3635	0.01411	0.0181	4.55	-0.19	1.58	0.5	45
FBXO5	0.6845	4.461e-10	1.45e-09	0.6571	3.698e-09	1.14e-08	80.05	-0.02	41.54	0.33	64
FBXO6	0.7048	8.016e-11	2.96e-10	0.7924	6.152e-15	4.05e-14	8.14	-0.25	15.96	0.69	64
FBXO7	0.1137	0.3708	0.397	0.203	0.1076	0.124	52.9	0	8.62	0.19	64
FBXO9	0.4607	0.000128	2e-04	0.4907	3.854e-05	6.86e-05	20.47	-0.12	5.81	0.44	64
FBXW11	-0.1509	0.234	0.256	-0.1639	0.1956	0.218	60.11	-0.04	13.33	0.22	64
FBXW2	0.598	1.809e-07	4.07e-07	0.64	1.24e-08	3.55e-08	36.26	0.08	9.47	0.27	64
FBXW4	-0.134	0.291	0.315	-0.0471	0.7116	0.733	17.17	-0.11	6.63	0.45	64
FBXW5	0.3797	0.001969	0.00267	0.4114	0.0007333	0.00111	32.42	-0.15	12.68	0.23	64
FBXW7	0.6055	1.156e-07	2.67e-07	0.5755	6.519e-07	1.48e-06	48.65	-0.22	42.69	0.59	64
FBXW8	0.1821	0.1498	0.168	0.2327	0.06426	0.076	22.96	0.02	7.21	0.26	64
FBXW9	0.4809	5.754e-05	9.36e-05	0.4296	0.000396	0.000618	7.88	0.12	3.1	0.29	64
FCER1G	0.4856	0.00484	0.0063	0.3662	0.03927	0.0478	29.1	-1.58	150.64	1.67	32
FCER2	0.2071	0.1006	0.115	-0.0293	0.8184	0.833	5.35	-1.95	15.65	1.14	64
FCF1	0.0702	0.5814	0.606	0.0384	0.7634	0.782	28.84	0.12	8.06	0.19	64
FCGR2A	0.6642	2.191e-06	4.25e-06	0.7882	9.552e-10	3.19e-09	5.12	0.18	6.83	0.95	41
FCGR2B	0.4567	0.001612	0.0022	0.1553	0.3084	0.335	1.14	-1.23	5.24	1.37	45
FCGRT	0.7814	2.578e-14	1.79e-13	0.8599	9.073e-20	1.26e-18	23.1	0.01	53.07	1.07	64
FCHO1	0.6535	4.805e-09	1.35e-08	0.5946	2.218e-07	5.36e-07	31.76	0.1	16.29	0.4	64
FCHO2	0.7814	2.572e-14	1.79e-13	0.8692	1.252e-20	2.03e-19	3.78	-0.3	5.72	1.12	64
FCHSD1	0.7877	1.151e-14	8.51e-14	0.8867	1.924e-22	4.44e-21	9.08	-0.48	12.27	1.07	64
FCHSD2	0.8034	1.371e-15	1.2e-14	0.7115	4.397e-11	1.73e-10	56.87	0.04	53.02	0.43	64
FCMR	0.7129	3.872e-11	1.51e-10	0.7217	1.714e-11	7.18e-11	39.68	-0.12	60.9	0.84	64
FCRLA	0.6261	3.146e-08	7.93e-08	0.5527	2.184e-06	4.61e-06	38.08	-0.84	88.36	1.55	64
FCSK	0.5967	1.96e-07	4.4e-07	0.5001	2.581e-05	4.7e-05	6.55	0.02	2.58	0.29	64
FDFT1	0.8787	1.401e-21	7e-20	0.8755	2.962e-21	5.4e-20	194.79	-0.35	106.3	0.6	64
FDPS	0.7693	1.127e-13	6.86e-13	0.6754	9.242e-10	3.09e-09	204.39	-0.12	95.24	0.22	64
FDX1	0.5488	2.657e-06	5.1e-06	0.5012	2.461e-05	4.49e-05	32.6	-0.1	11.04	0.27	64
FDX2	0.1005	0.4292	0.456	0.1127	0.3753	0.404	0.26	0.02	0.19	0.38	64
FDXACB1	0.469	0.0002661	0.000399	0.4996	8.843e-05	0.00015	5.83	-0.08	2.53	0.36	56
FDXR	0.7234	1.461e-11	6.14e-11	0.7391	3.11e-12	1.45e-11	9.41	-0.02	5.88	0.48	64
FECH	0.7166	2.756e-11	1.1e-10	0.7558	5.26e-13	2.7e-12	15.31	0.01	10.98	0.48	64
FEM1A	0.3981	0.001123	0.00156	0.43	0.0003903	0.00061	24.06	0	6.03	0.23	64
FEM1B	0.1209	0.3414	0.367	0.1178	0.3538	0.382	68.14	-0.03	15.53	0.27	64
FEM1C	-0.0309	0.8082	0.823	-0.061	0.6321	0.656	22.06	-0.18	6.91	0.25	64
FEN1	0.2942	0.01831	0.0225	0.2322	0.06481	0.0766	229.49	0.03	101.6	0.18	64
FER	0.7436	1.934e-12	9.37e-12	0.7997	2.286e-15	1.59e-14	12.57	-0.14	9.91	0.6	64
FERMT1	0.8434	2.243e-18	3.86e-17	0.6718	1.225e-09	4.03e-09	7.9	-0.25	13.43	1.03	64
FERMT2	0.8298	2.382e-17	3.14e-16	0.9031	1.905e-24	6.69e-23	5.77	-0.12	8.37	0.95	64
FERMT3	0.557	1.755e-06	3.44e-06	0.5375	4.645e-06	9.38e-06	99.16	0.16	37.86	0.29	64
FES	0.8179	1.611e-16	1.74e-15	0.8325	1.509e-17	1.42e-16	24.09	0.01	21.07	0.84	64
FEZ2	0.3795	0.001981	0.00268	0.4134	0.0006863	0.00104	12.99	-0.02	4.18	0.38	64
FGA	-0.0026	0.984	0.987	-0.0475	0.7093	0.73	0	0.33	0.02	0.98	64
FGB	-0.0328	0.797	0.812	-0.0789	0.5354	0.562	0.01	0.23	0.03	0.73	64
FGD1	0.6598	6.611e-06	1.21e-05	0.4547	0.004129	0.00565	3.29	0.02	5.42	0.56	38
FGD2	0.7712	8.977e-14	5.6e-13	0.703	9.394e-11	3.55e-10	3.2	-0.62	4.78	0.71	64
FGD3	0.6837	4.793e-10	1.55e-09	0.6691	1.502e-09	4.88e-09	28.44	0.12	15.67	0.45	64
FGD4	0.8128	3.501e-16	3.52e-15	0.9248	1.048e-27	8.64e-26	5.49	-0.37	8.54	0.88	64
FGD6	0.7346	4.873e-12	2.21e-11	0.8388	5.102e-18	5.18e-17	6.19	-0.07	6.66	0.5	64
FGFR1	0.8104	4.99e-16	4.81e-15	0.8504	5.999e-19	7.2e-18	18.14	-0.04	20.27	0.67	64
FGFR1OP	0.1755	0.1653	0.184	0.192	0.1286	0.147	5.88	-0.04	2.71	0.28	64
FGFR1OP2	0.7084	5.831e-11	2.2e-10	0.7283	9.139e-12	3.96e-11	43.89	0.04	15.56	0.27	64
FGFRL1	0.5902	3.895e-05	6.46e-05	0.6534	2.724e-06	5.68e-06	15.49	0.01	8.22	0.64	42
FGG	-0.0153	0.9046	0.914	0.0074	0.9539	0.959	0	0.11	0.01	0.68	64
FGGY	0.6051	1.183e-07	2.73e-07	0.5751	6.668e-07	1.51e-06	3.19	0	1.75	0.55	64
FGR	0.5372	1.965e-05	3.37e-05	0.3452	0.009179	0.0121	5.26	-0.49	16.24	0.92	56
FH	0.7059	7.302e-11	2.72e-10	0.6514	5.576e-09	1.67e-08	183.33	0.07	83.03	0.2	64
FHDC1	0.104	0.6536	0.675	0.0812	0.7264	0.747	2.73	-0.38	6.13	0.59	21
FHIT	0.4214	0.0005254	0.00076	0.6998	1.246e-10	4.65e-10	6.33	-0.16	9.5	0.82	64
FHL1	0.8327	1.462e-17	2.07e-16	0.9267	4.746e-28	4.29e-26	45.42	0.35	54.37	0.93	64
FHL2	0.7504	1.82e-11	7.54e-11	0.6234	2.227e-07	5.38e-07	1.46	-0.28	3.86	1.22	57
FHL3	0.7634	2.222e-13	1.28e-12	0.8219	8.51e-17	7.2e-16	8.24	0.17	5.16	0.61	64
FHOD1	0.8046	1.145e-15	1.02e-14	0.7679	1.329e-13	7.39e-13	24.57	-0.23	13.46	0.49	64
FHOD3	0.5597	7.291e-06	1.32e-05	0.4089	0.001755	0.00252	2.6	-2.28	4.96	1.24	56
FIBP	0.2614	0.03692	0.0441	0.2358	0.06068	0.072	71.41	0.02	23.88	0.18	64
FICD	0.3924	0.001341	0.00185	0.3497	0.004615	0.00627	5.78	-0.11	2.65	0.39	64
FIG4	0.3946	0.001252	0.00173	0.3295	0.007837	0.0104	24.13	0.11	9.89	0.23	64
FIGNL1	0.6217	4.186e-08	1.03e-07	0.599	1.707e-07	4.19e-07	60.65	-0.17	28.38	0.3	64
FILIP1L	0.8246	3.19e-15	2.62e-14	0.7718	2.109e-12	1e-11	4.11	-0.27	8.2	0.91	57
FIP1L1	0.3615	0.003341	0.00443	0.388	0.001537	0.00222	36.67	0.02	9.54	0.16	64
FIS1	0.5103	1.646e-05	2.85e-05	0.475	7.297e-05	0.000125	67.12	0.12	16.64	0.28	64
FITM2	0.5695	9.064e-07	1.85e-06	0.5371	4.748e-06	9.57e-06	5.35	0.08	1.8	0.42	64
FIZ1	0.4181	0.0005873	0.000845	0.4998	2.612e-05	4.75e-05	4.9	0.11	1.63	0.21	64
